MSZoning,LotArea,Street,LandContour,Utilities,LandSlope,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,ExterQual,ExterCond,Foundation,BsmtFinSF1,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,GarageCars,GarageArea,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,MiscVal,MoSold,YrSold,SaleCondition,SalePrice
RL,10634,Pave,Lvl,AllPub,Gtl,1Fam,1Story,5,6,1953,1953,TA,TA,PConc,428,180,0,608,GasA,TA,Y,1319,0,0,1319,1,0,1,0,3,1,TA,5,Min2,0,1,270,Y,66,0,0,0,0,0,0,11,2009,Normal,123000
RL,8200,Pave,Lvl,AllPub,Gtl,1Fam,2Story,7,5,2003,2004,Gd,TA,PConc,0,0,847,847,GasA,Ex,Y,847,1081,0,1928,0,0,2,1,4,1,Gd,8,Typ,1,2,434,Y,100,48,0,0,0,0,0,7,2007,Normal,219500
RL,10020,Pave,Low,AllPub,Sev,1Fam,1Story,1,1,1922,1950,Fa,Fa,BrkTil,350,0,333,683,GasA,Gd,N,904,0,0,904,1,0,0,1,1,1,Fa,4,Maj1,0,0,0,Y,0,0,0,0,0,0,0,3,2009,Normal,61000
RL,8846,Pave,Lvl,AllPub,Gtl,1Fam,SFoyer,5,5,1996,1996,Gd,TA,PConc,298,0,572,870,GasA,Ex,Y,914,0,0,914,0,0,1,0,2,1,TA,5,Typ,0,2,576,Y,0,0,0,0,0,0,0,7,2006,Normal,148000
FV,11143,Pave,Lvl,AllPub,Gtl,1Fam,2Story,8,5,2004,2005,Gd,TA,PConc,0,0,1580,1580,GasA,Ex,Y,1580,886,0,2466,0,0,3,0,4,1,Gd,8,Typ,1,2,610,Y,159,214,0,0,0,0,0,12,2007,Normal,340000
RL,11394,Pave,Lvl,AllPub,Gtl,1Fam,1Story,9,2,2010,2010,Gd,TA,PConc,1445,0,411,1856,GasA,Ex,Y,1856,0,0,1856,1,0,1,1,1,1,Ex,8,Typ,1,3,834,Y,113,0,0,0,0,0,0,6,2010,Partial,394432
RL,8123,Pave,Lvl,AllPub,Gtl,1Fam,2Story,6,5,2000,2000,TA,TA,PConc,0,0,982,982,GasA,Ex,Y,1007,793,0,1800,0,0,2,1,3,1,TA,7,Typ,1,2,463,Y,100,63,0,0,0,0,0,6,2009,Normal,179000
RL,5000,Pave,Lvl,AllPub,Gtl,1Fam,1.5Fin,5,6,1924,1950,TA,TA,BrkTil,218,0,808,1026,GasA,TA,Y,1026,665,0,1691,0,0,2,0,3,1,Gd,6,Typ,1,1,308,Y,0,0,242,0,0,0,0,5,2010,Normal,127000
FV,7200,Pave,Lvl,AllPub,Gtl,1Fam,1Story,7,5,2006,2006,Gd,TA,PConc,0,0,1293,1293,GasA,Ex,Y,1301,0,0,1301,1,0,2,0,2,1,Gd,5,Typ,1,2,572,Y,216,121,0,0,0,0,0,8,2006,Partial,187750
RL,9245,Pave,Lvl,AllPub,Gtl,1Fam,2Story,7,5,2006,2006,Gd,TA,PConc,0,0,939,939,GasA,Ex,Y,939,858,0,1797,0,0,2,1,3,1,Gd,8,Typ,0,2,639,Y,144,53,0,0,0,0,0,4,2007,Normal,213500
RH,9000,Pave,Lvl,AllPub,Gtl,1Fam,1.5Unf,6,3,1928,1950,TA,TA,BrkTil,0,0,784,784,GasA,TA,N,784,0,0,784,0,0,1,0,2,1,TA,5,Typ,0,2,360,N,0,0,91,0,0,0,0,10,2009,Normal,76000
RL,53107,Pave,Low,AllPub,Mod,1Fam,2Story,6,5,1992,1992,Gd,TA,PConc,985,0,595,1580,GasA,Ex,Y,1079,874,0,1953,1,0,2,1,3,1,Gd,9,Typ,2,2,501,Y,216,231,0,0,0,0,0,6,2007,Normal,240000
RL,3182,Pave,Lvl,AllPub,Gtl,TwnhsE,1Story,8,5,2004,2005,Gd,TA,PConc,24,0,1232,1256,GasA,Ex,Y,1269,0,0,1269,0,0,2,0,2,1,Gd,6,Typ,1,2,430,Y,146,20,0,0,144,0,0,4,2010,Normal,192000
RL,8410,Pave,Lvl,AllPub,Gtl,1Fam,1.5Fin,5,3,1910,1996,TA,Fa,PConc,0,0,658,658,GasA,TA,Y,658,526,0,1184,0,0,1,0,5,1,TA,8,Typ,0,0,0,N,0,151,0,0,0,0,0,5,2006,AdjLand,81000
RL,7200,Pave,Lvl,AllPub,Gtl,1Fam,SLvl,6,6,1976,1976,TA,TA,CBlock,631,0,410,1041,GasA,Ex,Y,1125,0,0,1125,1,0,1,0,3,1,TA,6,Typ,1,1,352,Y,296,0,0,0,0,0,0,10,2009,Abnorml,125000
RL,9382,Pave,Lvl,AllPub,Gtl,1Fam,1Story,7,5,1999,2000,Gd,TA,PConc,0,0,1468,1468,GasA,Ex,Y,1479,0,0,1479,0,0,2,0,3,1,Gd,6,Typ,0,2,577,Y,120,25,0,0,0,0,0,7,2008,Normal,191000
RL,12474,Pave,Lvl,AllPub,Gtl,1Fam,2Story,10,5,2007,2008,Ex,TA,PConc,1280,0,402,1682,GasA,Ex,Y,1742,590,0,2332,1,0,2,1,3,1,Ex,9,Typ,1,3,846,Y,196,134,0,0,0,0,0,8,2008,Partial,426000
RL,8405,Pave,Lvl,AllPub,Gtl,1Fam,1.5Fin,5,8,1900,1950,TA,TA,BrkTil,241,391,229,861,GasA,Ex,Y,961,406,0,1367,1,0,1,0,4,1,TA,7,Typ,0,1,384,Y,0,130,112,0,0,0,0,4,2008,Normal,119000
RL,12209,Pave,Lvl,AllPub,Gtl,1Fam,2Story,6,5,2001,2002,TA,TA,PConc,690,0,114,804,GasA,Ex,Y,804,1157,0,1961,1,0,2,1,3,1,Gd,7,Typ,1,2,560,Y,125,192,0,0,0,0,0,6,2009,Normal,215000
RL,8339,Pave,Lvl,AllPub,Gtl,1Fam,1Story,5,7,1959,1959,TA,TA,Slab,0,0,0,0,GasA,TA,Y,882,0,0,882,0,0,1,0,3,1,TA,5,Typ,0,1,294,Y,0,0,0,0,0,0,1200,7,2007,Normal,106500
RL,7446,Pave,Lvl,AllPub,Gtl,1Fam,1Story,4,5,1941,1950,TA,TA,CBlock,266,0,522,788,GasA,TA,Y,788,0,0,788,0,0,1,0,2,1,TA,4,Typ,2,0,0,Y,0,0,0,0,0,0,0,4,2006,Abnorml,100000
RL,10134,Pave,Lvl,AllPub,Gtl,1Fam,1.5Fin,5,6,1940,1950,TA,TA,CBlock,0,0,735,735,GasA,Gd,Y,735,299,0,1034,0,0,1,0,2,1,TA,5,Typ,0,1,240,Y,0,39,0,0,0,0,0,7,2007,Normal,109000
RL,9571,Pave,Lvl,AllPub,Gtl,1Fam,1Story,5,6,1956,1956,TA,TA,CBlock,739,0,405,1144,GasA,TA,Y,1144,0,0,1144,1,0,1,0,3,1,TA,6,Typ,0,1,596,Y,44,0,0,0,0,0,0,6,2010,Normal,129000
RL,7200,Pave,Low,AllPub,Gtl,1Fam,1Story,5,5,1972,1972,TA,TA,CBlock,777,0,117,894,GasA,TA,Y,894,0,0,894,0,0,1,0,2,1,TA,6,Typ,0,2,600,Y,215,0,0,0,0,0,0,9,2009,Normal,123000
RL,7590,Pave,Lvl,AllPub,Gtl,1Fam,2Story,5,5,1962,1962,TA,TA,CBlock,540,0,324,864,GasA,TA,Y,876,936,0,1812,0,0,2,0,4,1,TA,8,Typ,1,1,264,Y,0,168,0,0,0,0,0,7,2007,Normal,169500
RM,8967,Pave,Lvl,AllPub,Gtl,1Fam,1Story,5,2,1920,1950,TA,Fa,BrkTil,0,0,961,961,GasA,Gd,Y,1077,0,0,1077,0,0,1,0,2,1,TA,6,Maj2,0,1,338,N,0,0,0,0,0,0,0,11,2007,Abnorml,67000
FV,8125,Pave,Lvl,AllPub,Gtl,1Fam,2Story,7,5,2006,2007,Gd,TA,PConc,812,0,280,1092,GasA,Ex,Y,1112,438,0,1550,1,0,2,0,2,1,Gd,7,Typ,0,2,438,Y,0,168,0,0,0,0,0,10,2009,Normal,241000
RL,14963,Pave,Lvl,AllPub,Gtl,TwnhsE,1Story,8,5,1996,1996,Gd,TA,PConc,786,0,474,1260,GasA,Ex,Y,1288,0,0,1288,1,0,1,1,1,1,Ex,4,Typ,2,2,500,Y,120,30,0,0,224,0,0,12,2008,Normal,245500
RL,8767,Pave,Lvl,AllPub,Gtl,1Fam,1Story,7,5,2005,2005,Gd,TA,PConc,24,0,1286,1310,GasA,Ex,Y,1310,0,0,1310,0,0,2,0,3,1,Gd,6,Typ,1,2,400,Y,0,0,0,0,0,0,0,7,2006,Partial,164990
RL,10200,Pave,Lvl,AllPub,Gtl,1Fam,1Story,5,8,1940,1997,TA,TA,PConc,0,0,672,672,GasA,Ex,Y,672,0,0,672,0,0,1,0,2,1,TA,4,Typ,0,1,240,N,168,0,0,0,0,0,0,8,2008,Normal,108000
RL,12090,Pave,Lvl,AllPub,Gtl,1Fam,2Story,8,5,1998,1998,Gd,TA,PConc,0,0,1141,1141,GasA,Gd,Y,1165,1098,0,2263,0,0,2,1,4,1,Gd,10,Typ,1,2,420,Y,144,123,0,0,0,0,0,7,2006,Abnorml,258000
RL,10364,Pave,Lvl,AllPub,Gtl,1Fam,2Story,6,5,1995,1996,TA,TA,PConc,0,0,806,806,GasA,Gd,Y,806,766,0,1572,0,0,2,1,3,1,TA,7,Typ,1,2,373,Y,0,40,0,0,0,0,0,5,2007,Normal,168000
RL,9991,Pave,Lvl,AllPub,Gtl,1Fam,1Story,4,4,1976,1993,TA,TA,CBlock,1116,0,165,1281,GasA,Ex,Y,1620,0,0,1620,1,0,2,0,3,1,TA,8,Min1,1,2,490,Y,120,78,0,0,0,0,0,6,2009,Normal,150000
RL,10480,Pave,Lvl,AllPub,Gtl,1Fam,1.5Fin,6,5,1936,1950,TA,TA,BrkTil,0,0,1064,1064,GasA,Ex,Y,1166,0,473,1639,0,0,1,0,3,1,TA,6,Maj2,0,1,240,Y,0,0,0,0,0,0,0,3,2008,Normal,115000
RL,15576,Pave,Lvl,AllPub,Gtl,1Fam,2Story,6,7,1915,1976,TA,TA,BrkTil,0,0,840,840,GasA,Ex,Y,840,840,0,1680,0,0,2,0,4,1,TA,8,Typ,0,1,308,Y,0,0,160,0,0,0,0,3,2008,Normal,177000
RL,14154,Pave,Lvl,AllPub,Gtl,1Fam,2Story,7,5,2006,2006,Gd,TA,PConc,0,0,1063,1063,GasA,Ex,Y,1071,1101,0,2172,0,0,2,1,3,1,Gd,9,Typ,1,3,947,Y,192,62,0,0,0,0,0,8,2007,Partial,280000
FV,10800,Pave,Lvl,AllPub,Gtl,1Fam,2Story,8,5,2007,2008,Gd,TA,PConc,789,0,245,1034,GasA,Ex,Y,1050,1028,0,2078,1,0,2,1,3,1,Ex,8,Typ,1,3,836,Y,0,102,0,0,0,0,0,4,2008,Partial,339750
RL,9571,Pave,Lvl,AllPub,Gtl,1Fam,1Story,5,3,1958,1958,TA,Fa,CBlock,0,0,1276,1276,GasA,TA,Y,1276,0,0,1276,0,0,1,0,3,1,TA,5,Mod,0,1,350,Y,0,0,0,0,0,0,0,6,2009,Abnorml,60000
RL,34650,Pave,Bnk,AllPub,Gtl,2fmCon,1Story,5,5,1955,1955,TA,TA,CBlock,1056,0,0,1056,GasA,TA,N,1056,0,0,1056,1,0,1,0,3,1,TA,5,Typ,0,2,572,Y,264,0,0,0,0,0,0,1,2006,Normal,145000
FV,4403,Pave,Lvl,AllPub,Gtl,1Fam,1Story,7,5,2009,2009,Ex,TA,PConc,578,0,892,1470,GasA,Ex,Y,1478,0,0,1478,1,0,2,1,2,1,Gd,7,Typ,1,2,484,Y,0,144,0,0,0,0,0,6,2010,Partial,222000
RM,8960,Pave,Lvl,AllPub,Gtl,1Fam,1Story,5,6,1927,1950,TA,TA,CBlock,0,0,1008,1008,GasA,Gd,Y,1028,0,0,1028,0,0,1,0,2,1,TA,5,Typ,1,2,360,Y,0,0,130,0,0,0,0,3,2010,Normal,115000
RL,11228,Pave,Lvl,AllPub,Gtl,1Fam,2Story,7,5,1993,1993,Gd,TA,PConc,50,531,499,1080,GasA,Ex,Y,1080,1017,0,2097,0,1,2,1,3,1,Gd,9,Typ,1,3,678,Y,196,187,0,0,0,0,0,12,2008,Normal,228000
RL,8899,Pave,Lvl,AllPub,Gtl,1Fam,1Story,7,5,2007,2007,Gd,TA,PConc,24,0,1316,1340,GasA,Ex,Y,1340,0,0,1340,0,0,2,0,3,1,Gd,6,Typ,0,2,396,Y,100,30,0,0,0,0,0,8,2007,Partial,181134
RL,7844,Pave,Lvl,AllPub,Gtl,1Fam,2Story,6,7,1978,1978,TA,TA,CBlock,209,0,463,672,GasA,TA,Y,672,728,0,1400,0,0,1,1,3,1,TA,6,Typ,1,2,440,Y,0,0,0,0,0,0,0,3,2006,Normal,149500
RL,22420,Pave,Lvl,AllPub,Gtl,1Fam,2Story,6,6,1918,1950,TA,TA,BrkTil,1128,0,242,1370,GasW,TA,N,1370,1254,0,2624,1,0,2,1,4,1,TA,10,Typ,1,3,864,N,0,0,0,0,0,0,0,11,2007,Normal,239000
RL,8160,Pave,Lvl,AllPub,Gtl,1Fam,1.5Fin,5,6,1940,1950,TA,TA,BrkTil,312,0,444,756,GasA,Fa,N,756,378,0,1134,1,0,1,1,3,1,TA,7,Typ,0,1,240,P,0,0,0,0,0,0,0,4,2007,AdjLand,126000
RL,8450,Pave,Lvl,AllPub,Gtl,1Fam,1Story,5,6,1968,1968,TA,TA,CBlock,775,0,281,1056,GasA,Ex,Y,1056,0,0,1056,1,0,1,0,3,1,TA,6,Typ,1,1,304,Y,0,85,184,0,0,0,0,7,2010,Normal,142000
RM,7060,Pave,Lvl,AllPub,Gtl,Duplex,SFoyer,7,5,1997,1998,TA,Gd,PConc,1309,0,35,1344,GasA,Ex,Y,1344,0,0,1344,2,0,2,0,2,2,TA,8,Typ,0,4,784,Y,0,0,0,0,0,0,0,11,2008,Alloca,206300
RL,16635,Pave,Lvl,AllPub,Gtl,1Fam,1Story,6,7,1977,2000,Gd,TA,CBlock,1246,0,356,1602,GasA,Gd,Y,1602,0,0,1602,0,1,2,0,3,1,Gd,8,Typ,1,2,529,Y,240,0,0,0,0,0,0,6,2009,Normal,215000
RL,21750,Pave,HLS,AllPub,Mod,1Fam,1Story,5,5,1954,1954,TA,TA,CBlock,0,0,988,988,GasA,Ex,Y,988,0,0,988,0,0,1,0,2,1,TA,4,Typ,0,2,520,N,0,0,0,0,0,0,0,2,2008,Normal,113000
RL,9200,Pave,Lvl,AllPub,Gtl,1Fam,2Story,8,5,1998,1998,Gd,TA,PConc,986,0,484,1470,GasA,Gd,Y,1470,1160,0,2630,1,0,2,1,4,1,Gd,8,Typ,1,3,696,Y,0,66,0,0,0,0,0,6,2008,Normal,315000
RL,9000,Pave,Lvl,AllPub,Gtl,1Fam,1Story,6,5,1956,1956,TA,TA,CBlock,616,0,580,1196,GasA,Gd,Y,1196,0,0,1196,1,0,1,0,2,1,TA,6,Typ,1,1,297,Y,0,44,0,0,0,0,0,5,2008,Normal,139000
RM,3378,Pave,HLS,AllPub,Gtl,1Fam,2Story,7,8,1946,1992,TA,Gd,CBlock,0,0,651,651,GasA,Gd,Y,707,682,0,1389,0,0,1,1,3,1,TA,6,Typ,2,1,240,P,0,0,126,0,0,0,0,9,2009,Normal,135000
RL,12800,Pave,Low,AllPub,Mod,1Fam,SLvl,7,5,1989,1989,Gd,TA,PConc,1518,0,0,1518,GasA,Gd,Y,1644,0,0,1644,1,1,2,0,2,1,Gd,5,Typ,1,2,569,Y,80,0,0,0,396,0,0,8,2009,Normal,275000
RL,8593,Pave,Lvl,AllPub,Gtl,1Fam,1Story,4,6,1957,1957,TA,TA,CBlock,288,0,619,907,GasA,Ex,Y,907,0,0,907,0,0,1,0,3,1,TA,5,Typ,0,1,352,Y,0,0,0,0,0,0,0,7,2008,Normal,109008
RL,6762,Pave,Lvl,AllPub,Gtl,1Fam,1Story,7,5,2007,2007,Gd,TA,PConc,664,0,544,1208,GasA,Ex,Y,1208,0,0,1208,1,0,2,0,2,1,Gd,6,Typ,0,2,628,Y,105,54,0,0,0,0,0,9,2007,Partial,195400
RL,11457,Pave,Lvl,AllPub,Gtl,1Fam,1Story,6,5,1988,1988,TA,TA,CBlock,1005,0,387,1392,GasA,TA,Y,1412,0,0,1412,1,0,2,0,3,1,Gd,6,Typ,1,2,576,Y,0,0,169,0,0,0,0,3,2009,Normal,175000
RM,1680,Pave,Lvl,AllPub,Gtl,Twnhs,2Story,6,5,1971,1971,TA,TA,CBlock,387,0,96,483,GasA,TA,Y,483,504,0,987,0,0,1,1,2,1,TA,4,Typ,0,1,264,Y,0,0,0,0,0,0,0,7,2008,Abnorml,85400
RM,5586,Pave,Bnk,AllPub,Gtl,1Fam,1.5Fin,6,7,1920,1998,TA,TA,BrkTil,0,0,901,901,GasA,Gd,Y,1088,110,0,1198,0,0,1,0,4,1,TA,7,Typ,0,0,0,N,0,98,0,0,0,0,0,9,2008,Abnorml,79900
RM,1920,Pave,Lvl,AllPub,Gtl,TwnhsE,2Story,5,5,1971,1971,TA,TA,CBlock,471,0,294,765,GasA,Ex,Y,765,600,0,1365,1,0,1,1,2,1,TA,6,Min1,0,2,440,Y,240,36,0,0,0,0,0,8,2007,Normal,122500
RL,10839,Pave,Lvl,AllPub,Gtl,1Fam,2Story,6,5,1997,1998,TA,TA,PConc,0,0,926,926,GasA,Ex,Y,926,678,0,1604,0,0,2,1,3,1,TA,7,Typ,1,2,470,Y,0,36,0,0,0,0,0,7,2008,Normal,181000
RM,1890,Pave,Lvl,AllPub,Gtl,Twnhs,SFoyer,4,7,1972,1972,TA,Gd,CBlock,495,0,135,630,GasA,Gd,Y,630,0,0,630,1,0,1,0,1,1,TA,3,Typ,0,0,0,Y,88,0,0,0,0,0,0,6,2008,Normal,81000
RL,10667,Pave,Lvl,AllPub,Gtl,1Fam,2Story,7,6,1996,1996,Gd,TA,PConc,385,344,70,799,GasA,Ex,Y,827,834,0,1661,1,0,2,1,3,1,Gd,6,Typ,1,2,550,Y,158,61,0,0,0,0,0,4,2009,Normal,212000
RM,4400,Pave,Lvl,AllPub,Gtl,1Fam,1.5Fin,6,8,1920,1950,TA,TA,BrkTil,0,0,648,648,GasA,TA,Y,734,384,0,1118,0,0,1,0,2,1,TA,6,Typ,0,2,440,Y,0,0,0,0,0,0,0,10,2006,Normal,116000
RM,6000,Pave,Lvl,AllPub,Gtl,1Fam,1.5Unf,6,7,1926,2004,Gd,TA,PConc,0,0,884,884,GasA,Gd,Y,904,0,0,904,0,0,1,0,2,1,TA,4,Typ,0,1,180,Y,0,0,105,0,0,0,0,1,2009,Normal,119000
RL,4280,Pave,Lvl,AllPub,Gtl,1Fam,1Story,5,6,1913,2002,TA,TA,PConc,365,0,75,440,GasA,TA,N,694,0,0,694,0,0,1,0,2,1,Gd,4,Typ,1,1,352,P,0,0,34,0,0,0,0,3,2007,Normal,90350
RL,12354,Pave,Lvl,AllPub,Gtl,1Fam,1.5Fin,6,8,1920,2000,TA,TA,BrkTil,0,0,684,684,GasA,Gd,Y,684,512,0,1196,0,0,1,0,3,1,Gd,7,Typ,0,2,528,Y,0,46,0,0,0,0,800,8,2009,Normal,110000
RL,15431,Pave,Lvl,AllPub,Gtl,1Fam,1Story,10,5,2008,2008,Ex,TA,PConc,1767,539,788,3094,GasA,Ex,Y,2402,0,0,2402,1,0,2,0,2,1,Ex,10,Typ,2,3,672,Y,0,72,0,0,170,0,0,4,2009,Normal,555000
RL,12108,Pave,Lvl,AllPub,Gtl,Duplex,1Story,4,4,1955,1955,TA,TA,CBlock,133,0,1307,1440,GasA,TA,N,1440,0,0,1440,0,0,2,0,4,2,Fa,8,Typ,0,0,0,Y,0,0,0,0,0,0,0,9,2008,Normal,118000
RM,6240,Pave,Lvl,AllPub,Gtl,1Fam,1.5Fin,5,7,1930,1992,TA,TA,PConc,0,0,1078,1078,GasA,TA,Y,1128,445,0,1573,0,0,2,0,3,1,TA,8,Typ,1,2,360,P,0,0,0,0,0,0,0,6,2008,Normal,162900
RL,3922,Pave,Lvl,AllPub,Gtl,TwnhsE,1Story,7,5,2006,2007,Gd,TA,PConc,0,0,1258,1258,GasA,Ex,Y,1258,0,0,1258,0,0,2,0,2,1,Gd,6,Typ,1,3,648,Y,144,16,0,0,0,0,0,6,2007,Partial,172500
RL,8750,Pave,Lvl,AllPub,Gtl,1Fam,2Story,7,5,1994,1995,Gd,Gd,PConc,642,0,273,915,GasA,Ex,Y,933,975,0,1908,1,0,2,1,4,1,Gd,8,Typ,1,2,493,Y,144,133,0,0,0,0,0,7,2008,Normal,210000
RL,9855,Pave,Lvl,AllPub,Gtl,1Fam,1Story,6,5,1956,1956,TA,TA,CBlock,0,0,1436,1436,GasA,Fa,Y,1689,0,0,1689,0,0,1,0,3,1,TA,7,Typ,1,2,480,Y,0,0,0,0,0,0,0,11,2009,Normal,127500
RL,16492,Pave,Lvl,AllPub,Gtl,1Fam,1Story,6,6,1966,2002,Gd,TA,CBlock,247,713,557,1517,GasA,Ex,Y,1888,0,0,1888,0,0,2,1,2,1,Gd,6,Mod,1,2,578,Y,0,0,0,0,0,0,0,6,2010,Normal,190000
RL,11214,Pave,Lvl,AllPub,Gtl,1Fam,2Story,7,5,1998,1999,Gd,TA,PConc,0,0,930,930,GasA,Gd,Y,956,930,0,1886,0,0,2,1,4,1,Gd,10,Typ,1,2,431,Y,89,0,0,0,0,0,0,7,2006,Normal,199900
RM,8600,Pave,Bnk,AllPub,Gtl,1Fam,1.5Fin,6,6,1937,1950,TA,TA,BrkTil,0,0,780,780,GasA,TA,Y,780,596,0,1376,0,0,2,0,3,1,TA,7,Typ,1,1,198,N,0,0,0,0,0,0,0,6,2006,Normal,119500
RM,6000,Pave,Lvl,AllPub,Gtl,1Fam,1.5Fin,3,7,1948,2002,TA,Gd,CBlock,331,0,318,649,GasA,Ex,Y,679,504,0,1183,0,0,1,1,2,1,TA,6,Typ,0,1,308,Y,0,176,0,0,0,0,0,6,2007,Normal,120000
RM,5684,Pave,Lvl,AllPub,Gtl,1Fam,1Story,6,8,1930,2005,TA,TA,BrkTil,0,0,813,813,GasA,Ex,Y,813,0,0,813,0,0,1,0,2,1,Gd,5,Typ,0,1,270,N,0,113,0,0,0,0,0,6,2006,Normal,110000
RL,70761,Pave,Low,AllPub,Mod,1Fam,1Story,7,5,1975,1975,TA,TA,CBlock,655,0,878,1533,GasA,TA,Y,1533,0,0,1533,1,0,2,0,2,1,Gd,5,Typ,2,2,576,Y,200,54,0,0,0,0,0,12,2006,Normal,280000
RL,9303,Pave,Lvl,AllPub,Gtl,1Fam,2Story,6,5,1996,1997,Gd,TA,PConc,742,0,130,872,GasA,Ex,Y,888,868,0,1756,1,0,2,1,3,1,TA,7,Typ,0,2,422,Y,144,122,0,0,0,0,0,7,2007,Normal,204000
FV,9000,Pave,Lvl,AllPub,Gtl,1Fam,2Story,8,5,2008,2008,Gd,TA,PConc,0,0,768,768,GasA,Ex,Y,786,804,0,1590,0,0,2,1,3,1,Gd,6,Typ,0,2,676,Y,0,30,0,0,0,0,0,6,2009,Normal,210000
RL,9297,Pave,Lvl,AllPub,Gtl,Duplex,1Story,5,5,1976,1976,TA,TA,CBlock,1606,0,122,1728,GasA,TA,Y,1728,0,0,1728,2,0,2,0,4,2,TA,8,Typ,0,2,560,Y,0,0,0,0,0,0,0,7,2006,Family,188000
RL,9600,Pave,Lvl,AllPub,Gtl,1Fam,1Story,7,6,1973,1973,TA,TA,CBlock,916,0,326,1242,GasA,Fa,Y,1242,0,0,1242,0,0,1,1,3,1,TA,6,Typ,1,2,528,Y,0,0,0,0,0,0,0,9,2007,Normal,175500
RM,4571,Pave,Lvl,AllPub,Gtl,1Fam,2Story,5,5,1916,1950,TA,TA,BrkTil,0,0,624,624,GasA,Fa,N,624,720,0,1344,0,0,1,0,4,1,TA,7,Typ,0,3,513,Y,0,0,96,0,0,0,0,5,2008,Abnorml,98000
RL,53227,Pave,Low,AllPub,Mod,1Fam,1Story,4,6,1954,1994,TA,TA,CBlock,1116,0,248,1364,GasA,Ex,Y,1663,0,0,1663,1,0,1,0,2,1,Gd,6,Min1,2,2,529,Y,224,137,0,0,0,0,0,3,2008,Normal,256000
RM,5100,Pave,Lvl,AllPub,Gtl,1Fam,2Story,8,7,1925,1996,TA,Gd,PConc,0,0,588,588,GasA,Fa,Y,833,833,0,1666,0,0,1,0,3,1,Gd,7,Typ,1,1,228,Y,192,63,0,0,0,0,0,6,2008,Normal,161000
RL,7015,Pave,Bnk,AllPub,Gtl,1Fam,1.5Fin,5,4,1950,1950,TA,TA,CBlock,185,0,524,709,GasA,TA,Y,979,224,0,1203,1,0,1,0,3,1,Gd,5,Typ,1,1,352,Y,0,0,248,0,0,0,0,7,2009,Normal,110000
FV,8004,Pave,Lvl,AllPub,Gtl,1Fam,2Story,8,5,2009,2009,Gd,TA,PConc,544,0,288,832,GasA,Ex,Y,832,1103,0,1935,1,0,2,1,3,1,TA,8,Typ,0,2,552,Y,0,150,0,0,0,0,0,12,2009,Partial,263435
RL,7200,Pave,Lvl,AllPub,Gtl,1Fam,2Story,7,9,1936,2007,Gd,Gd,PConc,350,210,0,560,GasA,Ex,Y,575,560,0,1135,1,0,1,0,3,1,Gd,6,Typ,0,2,576,Y,256,0,0,0,0,0,0,4,2009,Normal,155000
RL,8281,Pave,Lvl,AllPub,Gtl,1Fam,1Story,5,5,1965,1965,TA,TA,CBlock,553,311,0,864,GasA,Gd,Y,864,0,0,864,0,0,1,0,3,1,TA,5,Typ,1,1,360,Y,0,0,236,0,0,0,0,12,2009,Normal,62383
RL,11988,Pave,HLS,AllPub,Mod,1Fam,2Story,6,7,1934,1995,TA,TA,CBlock,326,0,389,715,GasA,Fa,Y,849,811,0,1660,0,0,1,1,3,1,TA,6,Typ,1,1,240,Y,0,0,0,0,0,0,0,8,2008,Normal,188700
RL,8430,Pave,HLS,AllPub,Mod,1Fam,1Story,5,5,1978,1978,TA,TA,CBlock,616,0,424,1040,GasA,TA,Y,1040,0,0,1040,0,0,2,0,3,1,TA,5,Typ,0,0,0,Y,0,0,0,0,0,0,0,8,2009,Normal,124000
RM,3072,Pave,Lvl,AllPub,Gtl,TwnhsE,1Story,7,5,2004,2004,Gd,TA,PConc,0,0,1375,1375,GasA,Ex,Y,1414,0,0,1414,0,0,2,0,2,1,Gd,6,Typ,1,2,398,Y,144,20,0,0,0,0,0,5,2006,Normal,178740
RL,10628,Pave,Lvl,AllPub,Gtl,1Fam,1Story,7,5,1970,1970,TA,Gd,CBlock,778,0,499,1277,GasA,TA,Y,1277,0,0,1277,1,0,1,0,2,1,TA,5,Typ,1,2,526,Y,0,0,0,0,176,0,0,4,2007,Normal,167000
RL,9480,Pave,Lvl,AllPub,Gtl,1Fam,2Story,5,7,1942,1995,TA,TA,CBlock,386,0,342,728,GasA,Ex,Y,888,756,0,1644,0,0,1,1,3,1,Gd,7,Typ,2,1,312,Y,168,0,0,0,0,0,0,6,2007,Normal,146500
RL,11428,Pave,Lvl,AllPub,Gtl,1Fam,1Story,8,5,2006,2006,Gd,TA,PConc,0,0,1626,1626,GasA,Ex,Y,1634,0,0,1634,0,0,2,0,3,1,Gd,7,Typ,1,3,866,Y,0,44,0,0,0,0,0,5,2007,Normal,250000
