Id,MSSubClass,LotArea,Street,LotShape,LandContour,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,ExterQual,ExterCond,Foundation,Heating,HeatingQC,CentralAir,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,TotRmsAbvGrd,Fireplaces,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,MiscVal,MoSold,YrSold,SaleCondition,SalePrice
908,50,11500,Pave,IR1,Lvl,Inside,Gtl,Crawfor,Norm,Norm,1Fam,1.5Fin,7,7,1936,1987,Gable,CompShg,Gd,TA,CBlock,GasA,Gd,Y,1020,1037,0,2057,1,1,3,1,6,1,Y,0,0,0,0,322,0,0,6,2006,Normal,250000.0
909,20,8885,Pave,IR1,Low,Inside,Mod,Mitchel,Norm,Norm,1Fam,1Story,5,5,1983,1983,Gable,CompShg,TA,TA,CBlock,GasA,TA,Y,902,0,0,902,1,0,2,1,5,0,Y,164,0,0,0,0,0,0,6,2006,Normal,131000.0
910,60,12589,Pave,IR2,Lvl,Inside,Gtl,Gilbert,Norm,Norm,1Fam,2Story,6,5,2005,2005,Gable,CompShg,Gd,TA,PConc,GasA,Ex,Y,742,742,0,1484,2,1,3,1,8,1,Y,36,24,0,0,0,0,0,6,2009,Normal,174000.0
911,90,11600,Pave,Reg,Lvl,Corner,Gtl,NAmes,Feedr,Norm,Duplex,2Story,5,5,1960,1960,Gable,CompShg,TA,TA,CBlock,GasA,TA,Y,1105,1169,0,2274,2,0,5,2,12,0,Y,0,0,0,0,0,0,0,1,2010,Normal,154300.0
912,20,9286,Pave,IR1,Lvl,CulDSac,Mod,CollgCr,Norm,Norm,1Fam,1Story,5,7,1977,1989,Gable,CompShg,TA,TA,CBlock,GasA,TA,Y,1268,0,0,1268,1,1,3,1,5,0,Y,173,0,0,0,0,0,0,10,2009,Normal,143500.0
913,30,6120,Pave,Reg,Lvl,Inside,Gtl,BrkSide,Norm,Norm,1Fam,1Story,5,7,1925,1950,Gable,CompShg,TA,TA,BrkTil,GasA,TA,N,1015,0,0,1015,1,0,3,1,6,0,Y,0,0,112,0,120,0,620,7,2006,Abnorml,88000.0
914,90,6270,Pave,Reg,HLS,Inside,Gtl,Crawfor,Norm,Norm,Duplex,2Story,5,6,1949,1950,Gable,CompShg,TA,TA,CBlock,GasA,TA,N,1001,1001,0,2002,2,0,4,2,8,0,Y,0,0,0,0,0,0,0,8,2007,Normal,145000.0
915,160,3000,Pave,Reg,Lvl,Inside,Gtl,Somerst,Norm,Norm,TwnhsE,2Story,6,5,2009,2009,Gable,CompShg,Gd,TA,PConc,GasA,Ex,Y,612,612,0,1224,2,1,2,1,4,0,Y,0,234,0,0,0,0,0,6,2009,Partial,173733.0
916,160,2001,Pave,Reg,Lvl,Inside,Gtl,MeadowV,Norm,Norm,Twnhs,2Story,4,5,1970,1970,Gable,CompShg,TA,TA,CBlock,GasA,Fa,Y,546,546,0,1092,1,1,3,1,6,0,Y,0,0,0,0,0,0,0,1,2007,Normal,75000.0
917,20,9000,Pave,Reg,Lvl,Inside,Gtl,IDOTRR,Norm,Norm,1Fam,1Story,2,3,1949,1950,Gable,CompShg,TA,TA,CBlock,GasA,TA,N,480,0,0,480,0,0,1,1,4,0,Y,0,0,0,0,0,0,0,10,2006,Abnorml,35311.0
918,20,17140,Pave,Reg,Lvl,Inside,Gtl,Edwards,Norm,Norm,1Fam,1Story,4,6,1956,1956,Gable,CompShg,TA,TA,CBlock,GasA,Ex,Y,1229,0,0,1229,1,0,3,1,6,0,Y,0,0,0,0,0,0,0,4,2009,Normal,135000.0
919,60,13125,Pave,IR1,Lvl,Corner,Gtl,SawyerW,Norm,Norm,1Fam,2Story,7,5,1991,1991,Gable,CompShg,Gd,TA,PConc,GasA,Ex,Y,912,1215,0,2127,2,1,4,1,8,1,Y,72,192,224,0,0,0,0,11,2007,Normal,238000.0
920,20,11029,Pave,IR1,Lvl,Corner,Gtl,NAmes,Norm,Norm,1Fam,1Story,6,8,1958,2002,Hip,CompShg,Ex,TA,CBlock,GasA,Ex,Y,1414,0,0,1414,1,0,3,1,6,1,Y,0,51,0,0,190,0,0,5,2008,Normal,176500.0
921,60,8462,Pave,IR1,Lvl,Inside,Gtl,SawyerW,Norm,Norm,1Fam,2Story,6,5,1994,1994,Gable,CompShg,Gd,Gd,PConc,GasA,Ex,Y,936,785,0,1721,2,1,3,1,7,0,Y,300,87,0,0,0,0,0,7,2007,Normal,201000.0
922,90,8777,Pave,Reg,Lvl,Inside,Gtl,Edwards,Feedr,Norm,Duplex,1.5Fin,5,7,1900,2003,Gable,CompShg,TA,TA,CBlock,GasA,Gd,Y,1272,928,0,2200,2,2,4,2,9,0,N,0,70,0,0,0,0,0,9,2008,Normal,145900.0
923,20,10237,Pave,Reg,Lvl,Inside,Gtl,Gilbert,RRAn,Norm,1Fam,1Story,6,5,2005,2006,Gable,CompShg,Gd,TA,PConc,GasA,Ex,Y,1316,0,0,1316,2,0,3,1,6,1,Y,100,0,0,23,0,0,0,10,2006,Partial,169990.0
924,120,8012,Pave,Reg,Lvl,Inside,Gtl,SawyerW,Norm,Norm,TwnhsE,1Story,6,5,1993,1994,Gable,CompShg,Gd,TA,PConc,GasA,Ex,Y,1617,0,0,1617,2,0,2,1,5,1,Y,0,69,0,0,0,0,0,7,2008,Normal,193000.0
925,20,10240,Pave,Reg,Lvl,Inside,Gtl,NWAmes,Norm,Norm,1Fam,1Story,6,6,1980,1980,Gable,CompShg,TA,Gd,CBlock,GasA,TA,Y,1686,0,0,1686,2,0,3,1,7,1,Y,384,131,0,0,0,0,0,5,2006,Normal,207500.0
926,20,15611,Pave,IR1,Lvl,Corner,Gtl,NWAmes,Norm,Norm,1Fam,1Story,5,6,1977,1977,Gable,CompShg,TA,TA,PConc,GasA,TA,Y,1126,0,0,1126,2,0,3,1,6,0,Y,180,0,0,0,0,0,0,3,2008,Abnorml,175000.0
927,60,11999,Pave,Reg,Lvl,Inside,Gtl,NridgHt,Norm,Norm,1Fam,2Story,8,5,2003,2004,Hip,CompShg,Gd,TA,PConc,GasA,Ex,Y,1234,1140,0,2374,2,1,4,1,10,1,Y,104,100,0,0,0,0,0,5,2007,Normal,285000.0
928,60,9900,Pave,Reg,Lvl,Inside,Gtl,NWAmes,Feedr,Norm,1Fam,2Story,7,5,1968,1968,Gable,CompShg,TA,TA,CBlock,GasA,Gd,Y,1098,880,0,1978,2,1,4,1,9,1,Y,0,43,0,0,0,0,0,4,2008,Normal,176000.0
929,20,11838,Pave,Reg,Lvl,Inside,Gtl,CollgCr,Norm,Norm,1Fam,1Story,8,5,2001,2001,Hip,CompShg,Gd,TA,PConc,GasA,Ex,Y,1788,0,0,1788,2,0,3,1,7,1,Y,202,151,0,0,0,0,0,6,2009,Normal,236500.0
930,60,13006,Pave,IR1,Lvl,Corner,Gtl,Gilbert,Norm,Norm,1Fam,2Story,7,5,1997,1997,Gable,CompShg,TA,TA,PConc,GasA,Gd,Y,993,1243,0,2236,2,1,4,1,8,1,Y,0,0,0,0,0,0,0,11,2006,Normal,222000.0
931,20,8925,Pave,IR1,HLS,Inside,Gtl,Timber,Norm,Norm,1Fam,1Story,8,5,2007,2007,Gable,CompShg,Gd,TA,PConc,GasA,Ex,Y,1466,0,0,1466,2,0,3,1,7,0,Y,100,18,0,0,0,0,0,7,2009,Normal,201000.0
932,20,9100,Pave,Reg,Lvl,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,6,1965,1965,Gable,CompShg,TA,TA,CBlock,GasA,Ex,Y,925,0,0,925,1,0,2,1,5,0,Y,0,0,0,0,0,0,0,7,2009,Normal,117500.0
933,20,11670,Pave,IR1,Lvl,Corner,Gtl,Somerst,RRNn,Norm,1Fam,1Story,9,5,2006,2006,Hip,CompShg,Ex,TA,PConc,GasA,Ex,Y,1905,0,0,1905,2,0,3,1,8,1,Y,0,191,0,0,0,0,0,3,2007,Normal,320000.0
934,20,8487,Pave,Reg,Lvl,FR2,Gtl,CollgCr,Norm,Norm,1Fam,1Story,7,5,2004,2004,Gable,CompShg,Gd,TA,PConc,GasA,Ex,Y,1500,0,0,1500,2,0,3,1,6,0,Y,192,36,0,0,0,0,0,8,2009,Normal,190000.0
935,20,27650,Pave,IR2,HLS,Inside,Mod,NAmes,PosA,Norm,1Fam,1Story,7,7,1960,2007,Flat,Tar&Grv,TA,TA,CBlock,GasA,Ex,Y,2069,0,0,2069,2,0,4,1,9,1,Y,0,0,0,0,0,0,0,11,2008,Normal,242000.0
936,30,5825,Pave,IR1,Lvl,Inside,Gtl,BrkSide,Norm,Norm,1Fam,1Story,4,5,1926,1953,Gable,CompShg,TA,Gd,PConc,GasA,Gd,Y,747,0,0,747,1,0,1,1,5,0,Y,0,0,32,0,0,0,0,6,2006,Normal,79900.0
937,20,10083,Pave,Reg,Lvl,Inside,Gtl,SawyerW,Norm,Norm,1Fam,1Story,7,5,2003,2003,Gable,CompShg,Gd,TA,PConc,GasA,Ex,Y,1200,0,0,1200,2,0,2,1,5,0,Y,0,41,0,0,0,0,0,8,2009,Normal,184900.0
938,60,9675,Pave,Reg,Lvl,Inside,Gtl,Somerst,Norm,Norm,1Fam,2Story,7,5,2005,2005,Gable,CompShg,Gd,TA,PConc,GasA,Ex,Y,1113,858,0,1971,2,1,3,1,8,1,Y,0,48,0,0,0,0,0,2,2009,Normal,253000.0
939,60,8760,Pave,Reg,Lvl,Inside,Gtl,CollgCr,Norm,Norm,1Fam,2Story,7,5,2006,2006,Gable,CompShg,Gd,TA,PConc,GasA,Ex,Y,1391,571,0,1962,2,1,3,1,7,0,Y,0,90,0,0,0,0,0,8,2006,Partial,239799.0
940,70,24090,Pave,Reg,Lvl,Inside,Gtl,ClearCr,Norm,Norm,1Fam,2Story,7,7,1940,1950,Gable,CompShg,TA,Gd,CBlock,GasA,Ex,Y,1207,1196,0,2403,2,0,4,1,10,2,Y,56,0,318,0,0,0,0,6,2010,Normal,244400.0
941,90,12640,Pave,IR1,Lvl,Inside,Gtl,Mitchel,Norm,Norm,Duplex,1Story,6,5,1976,1976,Gable,CompShg,TA,TA,CBlock,GasA,TA,Y,1728,0,0,1728,2,0,4,2,8,0,Y,40,0,0,0,0,0,0,7,2006,Normal,150900.0
942,60,8755,Pave,IR1,Lvl,FR2,Gtl,Gilbert,RRNn,Norm,1Fam,2Story,7,5,1999,1999,Gable,CompShg,Gd,TA,PConc,GasA,Ex,Y,1022,1038,0,2060,2,1,3,1,8,1,Y,0,0,0,168,0,0,0,6,2009,Normal,214000.0
943,90,7711,Pave,IR1,Lvl,Inside,Gtl,Edwards,Norm,Norm,Duplex,1Story,4,3,1977,1977,Gable,CompShg,TA,TA,PConc,GasA,TA,Y,1440,0,0,1440,2,0,4,2,8,0,N,321,0,0,0,0,0,0,8,2007,Abnorml,150000.0
944,90,25000,Pave,Reg,Low,Inside,Gtl,Mitchel,Norm,Norm,Duplex,1Story,5,4,1967,1967,Gable,CompShg,TA,TA,CBlock,GasA,TA,Y,1632,0,0,1632,2,0,4,2,8,0,P,0,0,0,0,0,0,0,6,2007,Normal,143000.0
945,20,14375,Pave,IR1,Lvl,CulDSac,Gtl,Timber,Norm,Norm,1Fam,SLvl,6,6,1958,1958,Gable,CompShg,TA,TA,CBlock,GasA,Gd,Y,1344,0,0,1344,1,0,3,1,7,1,Y,0,118,0,0,233,0,0,1,2009,Abnorml,137500.0
946,50,8820,Pave,Reg,Lvl,Corner,Gtl,OldTown,Norm,Norm,1Fam,1.5Fin,5,6,1890,1996,Hip,CompShg,TA,TA,BrkTil,GasA,TA,Y,1188,561,120,1869,1,0,2,1,7,0,Y,48,0,244,0,0,0,0,9,2009,Normal,124900.0
947,80,8163,Pave,Reg,Lvl,Inside,Gtl,NAmes,Norm,Norm,1Fam,SLvl,5,6,1959,1959,Gable,CompShg,TA,Gd,CBlock,GasA,TA,Y,1144,0,0,1144,1,0,3,1,6,1,Y,86,0,0,0,0,0,0,3,2006,Normal,143000.0
948,20,14536,Pave,Reg,Lvl,Inside,Gtl,Timber,Norm,Norm,1Fam,1Story,8,5,2002,2003,Hip,CompShg,Gd,TA,PConc,GasA,Ex,Y,1629,0,0,1629,2,0,3,1,9,1,Y,0,252,0,0,0,0,0,11,2007,Normal,270000.0
949,60,14006,Pave,IR1,Lvl,Inside,Gtl,CollgCr,Norm,Norm,1Fam,2Story,7,5,2002,2002,Gable,CompShg,Gd,TA,PConc,GasA,Ex,Y,936,840,0,1776,2,1,3,1,7,1,Y,144,96,0,0,0,0,0,2,2006,Normal,192500.0
950,20,9360,Pave,Reg,Lvl,Inside,Gtl,NWAmes,Norm,Norm,1Fam,1Story,6,7,1972,2006,Hip,CompShg,TA,TA,CBlock,GasA,TA,Y,1381,0,0,1381,1,1,3,1,5,1,Y,0,0,0,0,0,0,0,3,2010,Normal,197500.0
951,20,7200,Pave,Reg,Lvl,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,8,1950,2002,Gable,CompShg,TA,TA,CBlock,GasA,Gd,Y,864,0,0,864,1,0,3,1,5,0,Y,194,0,0,0,0,0,0,7,2007,Normal,129000.0
952,20,7800,Pave,Reg,Lvl,Corner,Gtl,SawyerW,Norm,Norm,1Fam,1Story,5,5,1965,1965,Gable,CompShg,TA,TA,CBlock,GasA,Gd,Y,965,0,0,965,1,0,3,1,6,0,Y,421,0,0,0,0,0,0,7,2006,Abnorml,119900.0
953,85,7200,Pave,Reg,Lvl,Inside,Gtl,CollgCr,Norm,Norm,1Fam,SFoyer,5,8,1972,2003,Gable,CompShg,TA,Gd,CBlock,GasA,Gd,Y,768,0,0,768,1,0,2,1,5,0,Y,192,0,0,0,0,0,0,4,2009,Normal,133900.0
954,60,11075,Pave,IR1,Lvl,Inside,Mod,Mitchel,Norm,Norm,1Fam,2Story,5,4,1969,1969,Gable,CompShg,TA,TA,CBlock,GasA,Ex,Y,1168,800,0,1968,2,1,4,1,7,1,Y,305,189,0,0,0,0,400,9,2008,Normal,172000.0
955,90,9400,Pave,IR1,Lvl,CulDSac,Gtl,Edwards,Norm,Norm,Duplex,SFoyer,6,5,1975,1975,Flat,Tar&Grv,TA,TA,CBlock,GasA,TA,Y,980,0,0,980,2,0,4,0,4,0,Y,0,0,0,0,0,0,0,10,2006,AdjLand,127500.0
956,90,7136,Pave,IR1,HLS,Inside,Gtl,Crawfor,Norm,Norm,Duplex,2Story,6,6,1946,1950,Gable,CompShg,TA,TA,CBlock,GasA,TA,N,979,979,0,1958,2,0,4,2,8,0,Y,0,0,0,0,0,0,0,8,2007,Normal,145000.0
957,160,1300,Pave,Reg,Lvl,Inside,Gtl,Blueste,Norm,Norm,TwnhsE,2Story,6,6,1980,1980,Gable,CompShg,TA,TA,CBlock,GasA,TA,Y,561,668,0,1229,1,1,2,1,5,1,Y,150,0,0,0,0,0,0,5,2009,Normal,124000.0
958,20,7420,Pave,Reg,Lvl,Inside,Gtl,Sawyer,Norm,Norm,1Fam,1Story,5,5,1962,1962,Hip,CompShg,TA,TA,CBlock,GasA,TA,Y,1057,0,0,1057,1,0,3,1,6,0,Y,0,0,0,0,0,0,0,4,2007,Normal,132000.0
959,20,8450,Pave,Reg,Lvl,Inside,Gtl,CollgCr,Norm,Norm,1Fam,1Story,7,5,2003,2003,Gable,CompShg,Gd,TA,PConc,GasA,Ex,Y,1337,0,0,1337,2,0,3,1,6,0,Y,0,39,0,0,0,0,0,10,2007,Normal,185000.0
960,160,2572,Pave,Reg,Lvl,FR2,Gtl,Somerst,Norm,Norm,Twnhs,2Story,7,5,1999,1999,Hip,CompShg,Gd,TA,PConc,GasA,Ex,Y,696,720,0,1416,2,1,3,1,6,0,Y,0,44,0,0,0,0,0,5,2010,Normal,155000.0
961,20,7207,Pave,IR1,Lvl,Inside,Gtl,BrkSide,Norm,Norm,1Fam,1Story,5,7,1958,2008,Gable,CompShg,TA,Gd,CBlock,GasA,Gd,Y,858,0,0,858,1,0,2,1,4,0,Y,117,0,0,0,0,0,0,2,2010,Normal,116500.0
962,60,12227,Pave,IR1,Lvl,Corner,Gtl,NWAmes,PosN,Norm,1Fam,2Story,6,7,1977,1995,Gable,CompShg,TA,Gd,CBlock,GasA,TA,Y,1542,1330,0,2872,2,1,4,1,11,1,Y,550,282,0,0,0,0,0,7,2008,Normal,272000.0
963,160,2308,Pave,Reg,Lvl,Corner,Gtl,NPkVill,Norm,Norm,TwnhsE,2Story,6,6,1976,1976,Gable,CompShg,TA,TA,CBlock,GasA,TA,Y,804,744,0,1548,2,1,3,1,7,1,Y,48,0,0,0,0,0,0,7,2007,Normal,155000.0
964,20,11923,Pave,IR1,Lvl,Corner,Gtl,CollgCr,Norm,Norm,1Fam,1Story,9,5,2007,2007,Gable,CompShg,Gd,TA,PConc,GasA,Ex,Y,1800,0,0,1800,2,0,2,1,7,0,Y,288,136,0,0,0,0,0,5,2009,Normal,239000.0
965,60,11316,Pave,Reg,Lvl,Corner,Gtl,Timber,Norm,Norm,1Fam,2Story,7,5,2002,2003,Gable,CompShg,Gd,TA,PConc,GasA,Ex,Y,824,1070,0,1894,2,1,4,1,8,1,Y,0,40,0,0,0,0,0,2,2010,Normal,214900.0
966,60,10237,Pave,Reg,Lvl,Inside,Gtl,Gilbert,RRAn,Norm,1Fam,2Story,6,5,2005,2007,Gable,CompShg,Gd,TA,PConc,GasA,Ex,Y,783,701,0,1484,2,1,3,1,8,1,Y,0,72,0,0,0,0,0,7,2007,Partial,178900.0
967,50,9600,Pave,IR1,HLS,Inside,Gtl,Crawfor,Norm,Norm,1Fam,1.5Fin,5,7,1940,1950,Gable,CompShg,Gd,Gd,BrkTil,GasA,Ex,Y,976,332,0,1308,1,1,2,1,7,2,Y,0,70,0,0,0,0,0,6,2009,Normal,160000.0
968,20,7390,Pave,IR1,Lvl,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,7,1955,1955,Hip,CompShg,TA,TA,CBlock,GasA,TA,Y,1098,0,0,1098,1,0,3,1,6,0,Y,0,0,0,0,0,0,0,7,2008,Normal,135000.0
969,50,5925,Pave,Reg,Lvl,Inside,Gtl,OldTown,Norm,Norm,1Fam,1.5Fin,3,6,1910,1950,Gable,CompShg,TA,TA,BrkTil,Grav,Fa,N,600,368,0,968,1,0,2,1,6,0,Y,0,0,0,0,0,0,0,5,2009,Abnorml,37900.0
970,190,10382,Pave,Reg,Lvl,Inside,Gtl,NAmes,Norm,Norm,2fmCon,SLvl,6,5,1958,1958,Hip,CompShg,TA,Fa,CBlock,GasA,TA,Y,1095,0,0,1095,1,0,2,1,6,0,Y,0,0,0,0,0,0,0,3,2006,Normal,140000.0
971,50,10800,Pave,Reg,Lvl,Inside,Gtl,NAmes,Norm,Norm,1Fam,1.5Fin,4,4,1949,1950,Gable,CompShg,TA,TA,CBlock,GasA,TA,N,720,472,0,1192,1,1,4,1,6,0,Y,0,0,0,0,0,0,0,12,2006,Abnorml,135000.0
972,160,2268,Pave,Reg,Lvl,Inside,Gtl,NridgHt,Norm,Norm,Twnhs,2Story,7,5,2003,2004,Gable,CompShg,Gd,TA,PConc,GasA,Ex,Y,764,862,0,1626,2,0,2,1,6,0,Y,0,27,0,0,0,0,0,7,2009,Normal,173000.0
973,120,7892,Pave,Reg,Lvl,Inside,Gtl,SawyerW,Norm,Norm,TwnhsE,1Story,6,5,1979,1979,Gable,CompShg,TA,TA,CBlock,GasA,TA,Y,918,0,0,918,2,0,2,1,5,1,Y,28,0,0,0,0,0,0,4,2010,Normal,99500.0
974,20,11639,Pave,Reg,Lvl,Corner,Gtl,Somerst,Norm,Norm,1Fam,1Story,7,5,2007,2008,Gable,CompShg,Gd,TA,PConc,GasA,Ex,Y,1428,0,0,1428,2,0,3,1,6,0,Y,0,120,0,0,0,0,0,12,2008,Partial,182000.0
975,70,11414,Pave,IR1,Lvl,Corner,Gtl,BrkSide,RRAn,Feedr,1Fam,2Story,7,8,1910,1993,Gable,CompShg,TA,Gd,BrkTil,GasA,TA,N,1136,883,0,2019,1,0,3,1,8,0,Y,509,135,0,0,0,0,0,10,2009,Normal,167500.0
976,160,2651,Pave,Reg,Lvl,FR2,Gtl,Somerst,Norm,Norm,Twnhs,2Story,7,5,2000,2000,Gable,CompShg,Gd,TA,PConc,GasA,Ex,Y,673,709,0,1382,2,1,3,1,6,0,Y,153,50,0,0,0,0,0,4,2006,Normal,165000.0
977,30,5900,Pave,IR1,Bnk,Inside,Gtl,BrkSide,Norm,Norm,1Fam,1Story,4,7,1923,1958,Gable,CompShg,TA,TA,PConc,GasA,TA,Y,869,0,0,869,1,0,2,1,4,0,Y,0,0,0,0,0,0,0,8,2006,Normal,85500.0
978,120,4274,Pave,IR1,Lvl,Inside,Gtl,Somerst,Norm,Norm,TwnhsE,1Story,7,5,2006,2007,Gable,CompShg,Gd,TA,PConc,GasA,Ex,Y,1241,0,0,1241,1,1,1,1,4,0,Y,0,116,0,0,0,0,0,11,2007,Partial,199900.0
979,20,9450,Pave,Reg,Bnk,Inside,Mod,Edwards,Norm,Norm,1Fam,1Story,4,5,1954,1954,Gable,CompShg,TA,TA,CBlock,GasA,Ex,Y,894,0,0,894,1,0,3,1,5,0,Y,0,0,0,0,0,0,0,5,2007,Abnorml,110000.0
980,20,8816,Pave,Reg,Lvl,Corner,Gtl,Sawyer,Feedr,Norm,1Fam,1Story,5,6,1963,1963,Gable,CompShg,TA,TA,PConc,GasA,TA,Y,1121,0,0,1121,1,0,3,1,5,0,Y,0,80,0,0,0,0,0,6,2009,Normal,139000.0
981,85,12122,Pave,IR1,Lvl,Corner,Gtl,NAmes,Norm,Norm,1Fam,SFoyer,7,9,1961,2007,Gable,CompShg,Ex,TA,CBlock,GasA,Gd,Y,999,0,0,999,1,0,3,1,6,0,Y,144,76,0,0,0,0,0,7,2008,Normal,178400.0
982,60,12203,Pave,IR1,Lvl,Corner,Gtl,NoRidge,Norm,Norm,1Fam,2Story,8,5,1998,1999,Hip,CompShg,Gd,TA,PConc,GasA,Ex,Y,1276,1336,0,2612,2,1,4,1,8,1,Y,250,0,0,0,0,0,0,7,2009,Normal,336000.0
983,20,3182,Pave,Reg,Lvl,Inside,Gtl,Blmngtn,Norm,Norm,1Fam,1Story,7,5,2007,2007,Gable,CompShg,Gd,TA,PConc,GasA,Ex,Y,1266,0,0,1266,2,0,2,1,6,1,Y,100,16,0,0,0,0,0,3,2008,Normal,159895.0
984,60,11250,Pave,Reg,Lvl,Corner,Gtl,CollgCr,Norm,Norm,1Fam,2Story,8,5,2002,2002,Gable,CompShg,Gd,TA,PConc,GasA,Ex,Y,1149,1141,0,2290,2,1,4,1,9,1,Y,0,0,0,0,0,0,0,5,2008,Normal,255900.0
985,90,10125,Pave,Reg,Lvl,Inside,Gtl,Mitchel,Norm,Norm,Duplex,1.5Fin,5,5,1977,1977,Gable,CompShg,TA,TA,CBlock,GasA,TA,Y,1302,432,0,1734,2,0,4,2,8,0,Y,0,0,0,0,0,0,0,8,2009,Normal,126000.0
986,190,10880,Pave,Reg,Lvl,Inside,Gtl,Edwards,Norm,Norm,2fmCon,1Story,5,5,1950,1950,Gable,CompShg,TA,TA,CBlock,GasW,TA,N,1164,0,0,1164,1,0,3,1,5,0,Y,0,48,0,0,0,0,0,8,2008,Normal,125000.0
987,50,5310,Pave,Reg,Lvl,Corner,Gtl,OldTown,Feedr,Norm,1Fam,1.5Fin,6,8,1910,2003,Hip,CompShg,TA,Gd,CBlock,GasA,Gd,Y,1001,634,0,1635,1,0,2,1,5,0,Y,394,0,0,0,0,0,0,6,2006,Normal,117000.0
988,20,10159,Pave,IR1,Lvl,Inside,Gtl,NridgHt,Norm,Norm,1Fam,1Story,9,5,2009,2010,Hip,CompShg,Ex,TA,PConc,GasA,Ex,Y,1940,0,0,1940,2,1,3,1,8,1,Y,168,95,0,0,0,0,0,4,2010,Partial,395192.0
989,60,12046,Pave,IR1,Lvl,Inside,Gtl,NWAmes,Norm,Norm,1Fam,2Story,6,6,1976,1976,Gable,CompShg,TA,TA,CBlock,GasA,TA,Y,1118,912,0,2030,2,1,4,1,8,1,Y,0,224,0,0,0,0,0,6,2007,Normal,195000.0
990,60,8125,Pave,Reg,Lvl,Inside,Gtl,Somerst,Norm,Norm,1Fam,2Story,7,5,2006,2006,Gable,CompShg,Gd,TA,PConc,GasA,Ex,Y,778,798,0,1576,2,1,3,1,6,0,Y,0,50,0,0,0,0,0,8,2006,Partial,197000.0
991,60,9452,Pave,Reg,Lvl,Inside,Gtl,NoRidge,Norm,Norm,1Fam,2Story,8,5,1997,1998,Gable,CompShg,Gd,TA,PConc,GasA,Ex,Y,1407,985,0,2392,2,1,3,1,7,1,Y,0,70,0,0,0,0,0,6,2006,Normal,348000.0
992,70,17671,Pave,Reg,Lvl,Corner,Gtl,OldTown,Artery,Norm,1Fam,2Story,8,9,1882,1986,Gable,CompShg,Gd,Gd,BrkTil,GasA,Gd,Y,916,826,0,1742,1,1,4,1,8,1,P,0,169,0,0,0,0,0,11,2009,Normal,168000.0
993,60,9760,Pave,Reg,Lvl,Inside,Mod,NAmes,Norm,Norm,1Fam,2Story,6,8,1964,1993,Hip,CompShg,TA,TA,CBlock,GasA,Gd,Y,1020,831,0,1851,2,1,3,1,7,1,Y,239,42,0,0,0,0,0,7,2007,Normal,187000.0
994,60,8846,Pave,Reg,Lvl,Inside,Gtl,CollgCr,Norm,Norm,1Fam,2Story,6,5,2005,2006,Gable,CompShg,TA,TA,PConc,GasA,Ex,Y,750,750,0,1500,2,1,3,1,6,0,Y,0,35,0,0,0,0,0,8,2006,Partial,173900.0
995,20,12456,Pave,Reg,Lvl,FR2,Gtl,NridgHt,Norm,Norm,1Fam,1Story,10,5,2006,2007,Hip,CompShg,Ex,TA,PConc,GasA,Ex,Y,1718,0,0,1718,2,0,3,1,7,1,Y,216,48,0,0,0,0,0,7,2009,Normal,337500.0
996,50,4712,Pave,IR1,Lvl,Inside,Mod,BrkSide,Feedr,Norm,1Fam,1.5Fin,4,7,1946,1950,Gable,CompShg,TA,TA,CBlock,GasA,TA,Y,774,456,0,1230,1,1,3,1,5,0,Y,0,57,0,0,63,0,0,8,2006,Abnorml,121600.0
997,20,10659,Pave,IR1,Lvl,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,6,1961,1961,Hip,CompShg,TA,TA,CBlock,GasA,TA,Y,1050,0,0,1050,1,0,3,1,6,0,Y,0,319,0,0,0,0,0,1,2006,Normal,136500.0
998,20,11717,Pave,IR1,Lvl,Inside,Gtl,NWAmes,PosA,Norm,1Fam,1Story,6,6,1970,1970,Hip,CompShg,TA,TA,CBlock,GasA,TA,Y,1442,0,0,1442,2,0,2,1,6,1,Y,371,0,0,0,0,0,0,2,2009,Normal,185000.0
999,30,9786,Pave,Reg,Lvl,Inside,Gtl,IDOTRR,Norm,Norm,1Fam,1Story,3,4,1922,1950,Hip,CompShg,TA,TA,BrkTil,GasA,Fa,N,1077,0,0,1077,1,0,3,1,6,1,P,0,100,48,0,0,0,0,5,2006,Normal,91000.0
1000,20,6762,Pave,Reg,Lvl,Inside,Gtl,CollgCr,Norm,Norm,1Fam,1Story,7,5,2006,2006,Gable,CompShg,Gd,TA,PConc,GasA,Ex,Y,1208,0,0,1208,2,0,2,1,6,0,Y,105,61,0,0,0,0,0,2,2010,Normal,206000.0
